,,,,,
,Park,Traffic Counter,Year,Month,Traffic Count
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,11,"1,396"
,Amistad NRA,TRAFFIC COUNT AT BLACK BRUSH POINT,2019,12,"2,567"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,1,"2,100"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,2,"2,857"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,3,"6,688"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,4,"6,202"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,5,"5,469"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,6,"4,191"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,7,"5,559"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,8,"3,918"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,9,"5,195"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,10,"3,907"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,11,"2,559"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2018,12,"2,600"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,1,"2,600"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,2,"2,568"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,3,"1,272"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,4,"5,688"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,5,"5,513"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,6,"3,915"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,7,"5,039"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,8,"5,039"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,9,"3,576"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,10,"4,001"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,11,"2,135"
,Amistad NRA,TRAFFIC COUNT AT BOX CANYON,2019,12,"2,307"
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,1,646
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,2,909
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,3,"1,618"
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,4,920
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,5,819
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,6,737
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,7,654
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,8,570
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,9,640
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,10,"1,044"
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,11,800
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2018,12,0
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,1,84
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,2,847
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,3,"1,418"
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,4,697
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,5,698
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,6,969
,Amistad NRA,TRAFFIC COUNT AT DAM VC,2019,7,741
